macd_signal,rsi_signal,stoch_signal,status_signal,output
0,0.25,-0.10000000000000003,-0.6236922425001965,0
0,0.25,-0.10000000000000003,-0.8573341327564139,0
0,0.25,-0.10000000000000003,-1.0,1
0,0.25,-0.10000000000000003,-1.0,1
0,0.25,-0.4,-1.0,1
0,-0.5,-0.7,-1.0,1
0,-0.5,-0.4,-0.9332401066933633,0
0,-0.5,-0.10000000000000003,-0.8547032612042262,0
0,-0.5,-0.4,-0.6858708569799287,0
0,-0.5,-0.7,-0.988500074287915,0
0,-0.5,-1.5,-0.9235659229067177,0
1,-0.5,-1.5,-0.7811038998904656,0
1,-0.5,-1.5,-0.8886795707270793,0
1,-0.5,-0.7,-1.0,0
1,-0.5,-1.5,-0.7495738920370371,0
0,-0.15000000000000002,-1.5,-0.6797200960637101,0
0,-0.15000000000000002,-1.5,-0.6314870497387375,0
0,-0.15000000000000002,-1.5,-0.6188457410146218,0
0,-0.15000000000000002,-0.39999999999999997,-0.5539430520353015,0
0,-0.15000000000000002,0.0,-0.5339603255467186,0
0,-0.15000000000000002,0.4,-0.5773460027482689,-1
1,-0.4,0.4,-0.592295038582205,-1
1,-0.4,0.4,-0.4394445353626601,-1
1,-0.65,0.4,-0.3839084895345275,-1
1,-0.65,0.4,-0.1812644655198479,-1
1,-0.65,0.7,-0.164857400774296,-1
1,-0.65,1.5,-0.08684873558065179,-1
1,-0.65,1.5,-0.16005309930478057,-1
1,-0.65,1.5,-0.28394158099446715,-1
1,-0.65,1.5,-0.4511668162987539,-1
1,-0.65,1.5,-0.08157439627065001,-1
1,-0.65,1.5,-0.1125044555344654,-1
1,-0.65,1.5,-0.1816406076372422,-1
1,-0.65,1.5,-0.1753326233388038,-1
1,-0.65,0.7,-0.260214935575923,-1
1,-0.25,0.39999999999999997,-0.35726778414951627,-1
0,-0.25,0.39999999999999997,-0.5694239721624055,-1
0,-0.25,0.39999999999999997,-0.5165704202563551,-1
0,-0.25,0.39999999999999997,-0.5951561328316998,-1
0,-0.25,0.39999999999999997,-0.7133190474108355,-1
0,-0.25,0.39999999999999997,-0.7405594735602639,-1
-1,-1.5,0.7,-1.0,-1
-1,-1.5,0.39999999999999997,-0.9290578275255023,-1
-1,-1.5,0.39999999999999997,-0.6850271378202838,-1
-1,-1.5,0.39999999999999997,-0.5425359094208139,-1
-1,-1.5,0.39999999999999997,-0.6673257644055908,-1
-1,-1.5,0.39999999999999997,-0.9651866441326032,-1
-1,-1.5,0.39999999999999997,-0.9198507447973346,-1
-1,-1.5,0.39999999999999997,-0.8771027546995697,-1
-1,-1.5,0.39999999999999997,-1.0,-1
-1,-1.5,0.39999999999999997,-1.0,0
-1,-0.65,0.0,-0.9676690363090831,-1
-1,-0.65,-0.4,-0.9128626653008408,-1
-1,-0.65,-0.4,-0.8801181498921155,-1
-1,-0.65,-0.4,-0.8478827633179846,-1
-1,-0.65,-0.10000000000000003,-1.0,0
-1,-0.65,-0.10000000000000003,-0.9999999999999852,0
-1,-0.65,-0.10000000000000003,-1.0,-1
-1,-0.65,-0.10000000000000003,-1.0,-1
-1,-0.65,-0.10000000000000003,-0.9999999999999859,-1
-1,-1.5,-0.10000000000000003,-1.0,0
-1,-1.5,-0.10000000000000003,-0.9999999999999869,0
-1,-1.5,-0.10000000000000003,-0.9517913214741456,0
-1,-1.5,-0.10000000000000003,-0.9800515513548118,-1
-1,-1.5,-0.10000000000000003,-0.8768757161970773,-1
0,-1.5,-0.4,-0.7903779420907197,-1
1,-1.5,-0.4,-0.6984683078390268,-1
1,-1.5,-0.7,-0.8702676264824863,-1
1,-1.5,-0.7,-0.8799229844873064,-1
1,-1.5,-0.7,-0.9516694796174738,0
1,-1.5,-0.7,-1.0,0
0,-1.5,-0.7,-1.0,0
0,-1.5,-0.7,-1.0,0
0,-1.5,-0.7,-0.9655329580840448,0
0,-1.5,-0.4,-0.8868379123987619,0
0,-1.5,-0.4,-0.9309690315492372,0
1,-1.5,-0.4,-0.9141511902415773,0
1,-1.5,-0.7,-0.9259083976761106,0
1,-1.5,-0.7,-0.8924043516329806,0
1,-1.5,-0.7,-1.0,0
1,-1.5,-0.7,-0.8844337491539463,0
1,-1.5,-0.7,-0.9974449314823333,0
1,-0.65,-0.7,-1.0,0
1,-0.65,-1.5,-0.8607017221652539,0
1,-0.65,-1.5,-0.8634243109544656,0
1,-0.65,-1.5,-0.8409823210315643,0
1,-0.65,-1.5,-0.915656765602032,0
1,-0.65,-1.5,-0.959594770004904,0
1,-0.65,-1.5,-0.9805740272398865,0
1,-0.65,-1.5,-1.000000000000011,0
1,-0.65,-1.5,-1.000000000000011,0
0,-0.65,-1.5,-1.0,0
0,-0.65,-1.5,-0.9732704841498496,0
0,-0.65,-1.5,-1.0,0
0,-0.65,-1.5,-0.9961288938543246,0
-1,-0.65,-1.5,-1.0,0
0,-0.65,-1.5,-0.9898102240665995,0
0,-0.65,-0.7,-0.9492701134414535,0
0,-0.65,-0.7,-0.9957546535726353,0
0,-0.65,-0.7,-0.9466923104888288,0
0,-0.65,-1.5,-0.7875489827257829,0
1,-0.65,-1.5,-0.7658778252669826,0
1,-0.25,-1.5,-0.6613370629726743,-1
1,-0.25,-0.7,-0.7247028984627123,0
1,-0.25,-0.39999999999999997,-0.6582600327878666,-1
1,-0.25,-0.39999999999999997,-0.628142147460981,0
0,-0.25,-0.39999999999999997,-0.6546469525947863,0
0,-0.25,-0.39999999999999997,-0.780704841889564,0
0,-0.25,-0.39999999999999997,-0.8762568703545145,0
0,-0.25,-0.7,-0.7936216999283199,0
0,-0.25,-0.7,-0.7817325348172803,0
0,-0.25,-0.7,-0.8119219194866055,0
0,-0.25,-1.5,-0.6942865487843398,0
0,-0.25,-1.5,-0.7567798272100809,0
0,-0.25,-1.5,-0.5335795881992664,0
0,-0.25,-1.5,-0.6277983858586254,0
0,-0.25,-1.5,-0.6999942381063965,0
0,-0.25,-1.5,-0.7114609909912368,1
0,-0.25,-1.5,-0.8144891823642137,1
-1,-0.25,-1.5,-0.8389942503681194,1
-1,-0.25,-1.5,-0.7288427125227533,0
0,-0.25,-1.5,-0.7601393964766969,0
0,-0.25,-1.5,-0.9501994698486802,1
0,-0.25,-1.5,-1.0000000000000107,1
0,-0.25,-1.5,-0.9687645235373143,1
0,-0.25,-1.5,-0.8577823771784269,1
-1,-0.25,-1.5,-0.8677759647906137,1
-1,-0.25,-1.5,-0.9106551040686973,1
-1,-0.25,-1.5,-0.9341222680421514,1
-1,-0.25,-1.5,-0.9567222717152958,1
-1,-0.25,-1.5,-0.931824223255179,1
-1,-0.25,-1.5,-0.97563874927503,1
-1,0.0,-1.5,-1.0,1
-1,0.0,-1.5,-0.8925629056882752,1
-1,0.0,-1.5,-0.9124169672845054,1
-1,0.0,-1.5,-0.8034936448871521,0
0,0.0,-1.5,-0.7277299538306183,0
0,0.0,-1.5,-0.6019860485177568,0
0,0.0,-0.7,-0.5276612887755189,0
0,0.0,-0.39999999999999997,-0.4168967816262756,0
0,0.0,-0.39999999999999997,-0.398644932606464,0
0,0.0,-0.39999999999999997,-0.4175618773760319,0
0,0.0,-0.39999999999999997,-0.35219398791985573,0
0,0.0,-0.39999999999999997,-0.3721728467940804,0
0,0.0,0.0,-0.3174017468833049,0
0,1.5,0.4,-0.2850940971388326,0
0,1.5,0.4,-0.26209922500028127,0
0,1.5,0.4,-0.17701367523827743,-1
0,1.5,0.4,-0.26720335465869194,0
1,1.5,0.4,-0.29933074485565164,0
1,1.5,0.4,-0.42229780341258844,0
1,1.5,0.4,-0.3467613985504847,-1
0,1.5,0.4,-0.35682454272696673,-1
0,1.5,0.10000000000000003,-0.33767118575943944,0
0,1.5,-0.19999999999999996,-0.3492351331616711,-1
0,1.5,-0.19999999999999996,-0.28199919430744835,-1
0,1.5,-0.19999999999999996,-0.26714749403589727,-1
0,0.65,-0.19999999999999996,-0.2986003334310575,0
0,0.65,-0.6,-0.34516036425004337,0
0,0.65,-1.5,-0.3711647798476682,0
0,0.65,-1.5,-0.4178221997124042,0
0,0.65,-1.5,-0.5215292457040503,0
0,0.65,-1.5,-0.5282418888221726,0
0,0.65,-1.5,-0.5440382190090691,0
0,0.65,-1.5,-0.5004488030393047,0
0,0.65,-0.6,-0.617221982888981,0
-1,0.65,-0.19999999999999996,-0.5845043732177139,0
-1,0.65,-0.6,-0.5072413436282408,0
-1,0.65,-1.5,-0.6141919576863678,0
-1,0.65,-0.7,-0.5649438159093687,0
-1,0.65,-0.7,-0.4951949385546256,0
-1,0.65,-0.7,-0.5760748887526903,0
-1,0.65,-0.7,-0.6278705818589027,0
-1,0.65,-0.7,-0.6333801440094341,0
-1,0.65,-1.5,-0.5426500477315757,0
-1,0.65,-1.5,-0.43200855506890673,0
-1,0.65,-1.5,-0.5455916051458047,0
-1,0.25,-1.5,-0.6195646062169369,0
-1,0.25,-1.5,-0.523156365473239,0
0,0.25,-1.5,-0.5201918277463854,0
-1,0.25,-1.5,-0.6789802959494103,0
-1,0.25,-1.5,-0.7200142640651965,0
0,0.25,-1.5,-0.731191956880748,1
0,0.25,-1.5,-0.6677452609901519,1
0,0.25,-1.5,-0.7555041737385684,1
0,0.25,-1.5,-0.6754062348890856,1
0,0.25,-1.5,-0.6135293563712363,1
1,0.25,-1.5,-0.5575200226657139,1
1,0.25,-1.5,-0.5461317653918686,1
1,0.25,-1.5,-0.5456670057158298,1
1,0.25,-1.5,-0.4395198226909267,0
1,0.25,-1.5,-0.3888310986119997,0
1,0.25,-1.5,-0.36129298174609337,1
1,0.25,-0.7,-0.281151583786113,1
1,0.25,-0.39999999999999997,-0.26507529514977224,1
1,0.25,-0.39999999999999997,-0.32832124508159355,1
1,0.25,-0.39999999999999997,-0.31414950746945186,1
1,0.25,-0.39999999999999997,-0.3333480743798413,1
1,0.25,0.0,-0.3055395116938476,1
1,0.25,0.4,-0.33117616166306196,1
1,0.25,0.4,-0.2739888339988056,1
1,0.25,0.4,-0.44094682372379557,1
0,0.25,0.4,-0.4981343669163093,1
0,0.25,0.4,-0.5231667046100642,1
0,0.25,0.4,-0.4277275776971927,1
0,0.25,0.4,-0.5257258281850522,1
0,0.25,0.4,-0.5431291143385008,1
0,0.0,0.4,-0.5706501581254074,1
0,0.0,0.4,-0.5376909765360754,1
-1,0.0,0.10000000000000003,-0.45122213026416247,1
0,0.0,-0.19999999999999996,-0.4217315557669686,1
0,0.0,-0.19999999999999996,-0.40112846638060434,1
1,0.0,-0.19999999999999996,-0.38525902496145514,1
1,0.0,-0.19999999999999996,-0.32265230568754777,1
1,0.0,-0.19999999999999996,-0.3393999256891826,1
1,0.0,-0.19999999999999996,-0.2013360348329661,1
1,1.5,-0.19999999999999996,-0.005038588779274944,0
0,1.5,-0.19999999999999996,-0.02822874393606112,0
0,1.5,-0.19999999999999996,-0.06982946472726068,0
0,1.5,0.7,-0.07505344491922755,0
0,1.5,0.4,-0.15487994019707987,1
0,1.5,1.5,-0.0854598634795901,1
0,1.5,1.5,0.0011434961005280509,0
0,1.5,1.5,0.09176461350558279,0
0,1.5,1.5,0.29182063849153644,0
0,1.5,1.5,0.3517804388264404,-1
0,1.5,1.5,0.35754349911167943,0
0,1.5,1.5,0.2825540925727293,-1
0,1.5,1.5,0.2836457735892828,-1
0,1.5,1.5,0.17407493966140028,-1
0,1.5,1.5,0.18624996727057685,-1
-1,1.5,1.5,0.14702450741229595,-1
0,1.5,1.5,0.06219142834913238,0
0,1.5,0.7,0.03532653853434525,0
0,1.5,0.39999999999999997,0.11830801905643965,0
0,1.5,0.0,0.2945795163792147,-1
0,1.5,-0.4,0.20919456786632415,0
0,1.5,-0.4,0.22630728746926018,-1
0,0.65,-0.4,0.3111741378837894,-1
0,0.65,-0.4,0.29826925972352186,-1
0,0.65,-0.4,0.20832316388677674,0
0,0.65,-0.7,0.189956276177574,0
-1,0.65,-1.5,0.18958994072019406,0
-1,0.65,-1.5,0.17250011497253886,0
-1,0.65,-1.5,0.15335582832837816,-1
-1,0.65,-1.5,0.18289844191692164,-1
-1,0.65,-1.5,0.26818251180103203,-1
-1,0.65,-1.5,0.2935281677328857,-1
-1,0.65,-1.5,0.24350608287511816,0
-1,0.65,-1.5,0.25888572476414257,-1
-1,0.65,-1.5,0.270821167554688,-1
-1,0.65,-1.5,0.2697273903076873,-1
-1,0.65,-1.5,0.29247590338453566,-1
-1,0.65,-1.5,0.32255711915217516,-1
-1,0.65,-1.5,0.34993591989789125,-1
-1,0.30000000000000004,-1.5,-0.43657754212520544,0
-1,0.30000000000000004,-1.5,0.17845747037451679,0
-1,-0.09999999999999998,-1.5,-0.07959652617821295,0
-1,-0.5,-1.5,-0.2104341506388051,0
-1,-0.5,-1.5,-0.232387511812406,0
-1,-0.5,-1.5,-0.3213582653608411,0
0,-0.5,-1.5,-0.28897693077193815,0
0,-0.5,-1.5,-0.2793527347487733,0
0,-0.5,-1.5,-0.27943847993428433,0
0,-0.5,-1.5,-0.1360170894675062,0
0,-0.15000000000000002,-1.5,-0.09583263029040179,0
0,-0.15000000000000002,-1.5,-0.1332278316813373,0
0,-0.15000000000000002,-1.5,-0.1496793052289658,0
1,-0.15000000000000002,-1.5,-0.0662259004063867,0
1,-0.15000000000000002,-1.5,-0.11355373547575395,0
1,-0.15000000000000002,-1.5,-0.04195744523926015,0
1,-0.15000000000000002,-1.5,-0.07059872665886197,0
1,-0.15000000000000002,-1.5,-0.15280563540428385,0
1,-0.15000000000000002,-1.5,-0.11827211892484245,0
1,-0.15000000000000002,-1.5,-0.20581054373683064,1
1,-0.15000000000000002,-1.5,-0.21094884770156244,0
1,-0.15000000000000002,-1.5,-0.11277168954726446,0
1,-0.15000000000000002,-1.5,-0.16244365159209018,0
1,-0.15000000000000002,-1.5,-0.07128943200174738,0
1,-0.15000000000000002,-1.5,-0.13426703878094756,0
1,-0.15000000000000002,-1.5,-0.24034746163872558,0
0,-0.15000000000000002,-1.5,0.0,0
0,-0.15000000000000002,-1.5,1.0,0
0,-0.15000000000000002,-1.5,-0.505544317956224,0
0,-0.15000000000000002,-1.5,-0.8424171185810827,1
0,0.25,-1.5,1.0,0
1,0.25,-1.5,1.0,0
1,0.0,-1.5,0.6975222881193054,0
1,-0.25,-1.5,1.0,0
1,-0.25,-1.5,0.7959299576255425,0
1,-0.25,-1.5,1.0,0
1,-0.25,-1.5,1.0,0
1,-0.25,-1.5,0.5426608103455016,0
1,-0.25,-1.5,-0.2718848268733131,0
1,-0.25,-1.5,0.5210019918706865,0
1,-0.25,-1.5,-0.11324454517884891,0
1,-0.25,-1.5,0.30580278487260265,0
1,-0.25,-1.5,0.2635696709294796,0
0,-0.25,-1.5,0.655642014107891,0
0,-0.25,-1.5,1.0,0
0,-0.25,-1.5,1.0,0
0,-0.25,-1.5,0.35369189783065846,0
0,-0.25,-1.5,0.6254568563930601,0
0,-0.25,-1.5,1.0,0
0,-0.25,-1.5,1.0,0
0,-0.25,-1.5,0.7694948126682302,0
0,-0.25,-1.5,0.4888316508016546,0
0,-0.25,-1.5,0.5640932938907096,0
0,-0.25,-1.5,0.5458711310387524,0
0,-0.25,-1.5,0.48190225473682236,0
0,-0.25,-1.5,0.7468294288427334,0
1,-0.25,-1.5,0.4611560819173208,0
0,-0.25,-1.5,0.06152051685740052,0
0,-0.25,-1.5,0.03621661498859873,0
0,-0.25,-1.5,0.7305936698692245,0
0,0.0,-1.5,0.5267969804264641,0
-1,0.0,-1.5,0.43012664927265204,0
-1,0.0,-1.5,0.3878019669921972,-1
-1,0.0,-1.5,0.29945061883900687,-1
-1,0.0,-1.5,0.3170468429201413,-1
-1,0.0,-1.5,0.19507634690871525,-1
-1,0.0,-1.5,0.057291141517926955,-1
-1,0.0,-1.5,0.33353455036088514,-1
-1,0.0,-1.5,-0.4617316887354736,-1
-1,0.0,-1.5,-0.6951147509935112,-1
-1,0.0,-1.5,-0.9227470114403188,-1
-1,0.0,-1.5,-0.8083182049932337,-1
-1,0.0,-1.5,-0.2539046063100915,-1
-1,0.0,-1.5,-0.6693494008060664,-1
-1,0.0,-1.5,-0.8251172125251257,-1
-1,0.0,-1.5,-0.460049934581125,-1
-1,0.0,-1.5,-0.5428589399986884,-1
-1,0.0,-1.5,0.14309747531867123,-1
0,0.0,-1.5,0.002708878855356594,-1
0,0.0,-1.5,0.16838543009281562,-1
0,0.0,-1.5,-0.13534574846996175,-1
